
FullName,Service,Role,CanonicalModules,IsTest
C:\Users\richg\eafix-modular\services\common\2099900103260118___init__.py,common,package_init,,0
C:\Users\richg\eafix-modular\services\common\2099900102260118_test_service_template.py,common,test,,1
C:\Users\richg\eafix-modular\services\calendar-ingestor\src\2099900093260118_main.py,calendar-ingestor,entrypoint,"D2_CALENDAR_SOURCE_ADAPTER,D3_CALENDAR_NORMALIZER,F2_EVENT_LOG,D4_CALENDAR_TRIGGER_BUILDER",0
C:\Users\richg\eafix-modular\services\calendar-ingestor\src\2099900094260118_metrics.py,calendar-ingestor,metrics,"D2_CALENDAR_SOURCE_ADAPTER,D3_CALENDAR_NORMALIZER,F2_EVENT_LOG,D4_CALENDAR_TRIGGER_BUILDER",0
C:\Users\richg\eafix-modular\services\calendar-ingestor\src\2099900091260118_health.py,calendar-ingestor,health,"D2_CALENDAR_SOURCE_ADAPTER,D3_CALENDAR_NORMALIZER,F2_EVENT_LOG,D4_CALENDAR_TRIGGER_BUILDER",0
C:\Users\richg\eafix-modular\services\data-ingestor\src\2099900112260118_main.py,data-ingestor,entrypoint,D1_MARKET_FEED_ADAPTER,0
C:\Users\richg\eafix-modular\services\data-ingestor\src\2099900114260118_metrics.py,data-ingestor,metrics,D1_MARKET_FEED_ADAPTER,0
C:\Users\richg\eafix-modular\services\data-ingestor\src\2099900113260118_main_enterprise.py,data-ingestor,entrypoint_enterprise,D1_MARKET_FEED_ADAPTER,0
C:\Users\richg\eafix-modular\services\dashboard-backend\src\2099900107260118_plugin.py,dashboard-backend,plugin,,0
C:\Users\richg\eafix-modular\services\data-ingestor\src\2099900110260118_health.py,data-ingestor,health,D1_MARKET_FEED_ADAPTER,0
C:\Users\richg\eafix-modular\services\calendar-ingestor\src\2099900098260118___init__.py,calendar-ingestor,package_init,"D2_CALENDAR_SOURCE_ADAPTER,D3_CALENDAR_NORMALIZER,F2_EVENT_LOG,D4_CALENDAR_TRIGGER_BUILDER",0
C:\Users\richg\eafix-modular\services\dashboard-backend\src\2099900106260118_main.py,dashboard-backend,entrypoint,,0
C:\Users\richg\eafix-modular\services\data-ingestor\tests\unit\2099900119260118_test_data_ingestor_service.py,data-ingestor,test,D1_MARKET_FEED_ADAPTER,1
C:\Users\richg\eafix-modular\services\data-ingestor\tests\unit\2099900120260118___init__.py,data-ingestor,package_init,D1_MARKET_FEED_ADAPTER,1
C:\Users\richg\eafix-modular\services\data-ingestor\src\2099900115260118_models.py,data-ingestor,models,D1_MARKET_FEED_ADAPTER,0
C:\Users\richg\eafix-modular\services\data-ingestor\tests\unit\2099900118260118_test_data_ingestor_enterprise.py,data-ingestor,test,D1_MARKET_FEED_ADAPTER,1
C:\Users\richg\eafix-modular\services\flow-monitor\src\2099900147260118_monitor.py,flow-monitor,other,P1_HEALTH_AGGREGATOR,0
C:\Users\richg\eafix-modular\services\flow-monitor\src\2099900146260118_config.py,flow-monitor,config,P1_HEALTH_AGGREGATOR,0
C:\Users\richg\eafix-modular\services\event-gateway\src\2099900143260118_plugin.py,event-gateway,plugin,,0
C:\Users\richg\eafix-modular\services\gui-gateway\src\2099900156260118_main.py,gui-gateway,entrypoint,,0
C:\Users\richg\eafix-modular\services\indicator-engine\src\currency_strength\2099900160260118_strength_calculator.py,indicator-engine,other,C2_INDICATOR_ENGINE,0
C:\Users\richg\eafix-modular\services\gui-gateway\src\2099900158260118_plugin.py,gui-gateway,plugin,,0
C:\Users\richg\eafix-modular\services\gui-gateway\src\2099900157260118_models.py,gui-gateway,models,,0
C:\Users\richg\eafix-modular\services\reentry-matrix-svc\src\2099900174260118_main.py,reentry-matrix-svc,entrypoint,E3_MATRIX_LOOKUP,0
