scan_id,scan_root,first_seen_utc,relative_path,path,name,extension,size_bytes,mtime_utc,created_time,is_directory,mime_type,permissions,content_hash,doc_id,has_id_prefix,current_id_prefix,needs_id,0000000000000000_filename,type_code,ns_code,scope,planned_id,planned_rel_path,error,error_kind
20260118_150222_23c4c371bad6,C:\Users\richg\eafix-modular\id_16_digit,2026-01-18T21:02:22.208131+00:00,,C:\Users\richg\eafix-modular\id_16_digit,id_16_digit,,0,2026-01-18T21:01:30.217993+00:00,2026-01-18T20:40:07.164260+00:00,True,,777,,,False,,True,,,,,,,,
20260118_150222_23c4c371bad6,C:\Users\richg\eafix-modular\id_16_digit,2026-01-18T21:02:22.208131+00:00,AGENTS.md,C:\Users\richg\eafix-modular\id_16_digit\AGENTS.md,AGENTS.md,md,2494,2026-01-18T20:42:55.656573+00:00,2026-01-18T20:42:55.656573+00:00,False,text/markdown,666,,,False,,True,0000000000000000_AGENTS.md,01,999,720066,,,,
20260118_150222_23c4c371bad6,C:\Users\richg\eafix-modular\id_16_digit,2026-01-18T21:02:22.208131+00:00,eafilid4.txt,C:\Users\richg\eafix-modular\id_16_digit\eafilid4.txt,eafilid4.txt,txt,28531,2026-01-18T18:55:30.440501+00:00,2026-01-18T18:55:30.440501+00:00,False,text/plain,666,,,False,,True,0000000000000000_eafilid4.txt,02,999,720066,,,,
20260118_150222_23c4c371bad6,C:\Users\richg\eafix-modular\id_16_digit,2026-01-18T21:02:22.208131+00:00,eafilid5.txt,C:\Users\richg\eafix-modular\id_16_digit\eafilid5.txt,eafilid5.txt,txt,10648,2026-01-18T18:56:33.960353+00:00,2026-01-18T18:56:33.960353+00:00,False,text/plain,666,,,False,,True,0000000000000000_eafilid5.txt,02,999,720066,,,,
20260118_150222_23c4c371bad6,C:\Users\richg\eafix-modular\id_16_digit,2026-01-18T21:02:22.208131+00:00,eafilid6.txt,C:\Users\richg\eafix-modular\id_16_digit\eafilid6.txt,eafilid6.txt,txt,4224,2026-01-18T18:58:04.764338+00:00,2026-01-18T18:58:04.764338+00:00,False,text/plain,666,,,False,,True,0000000000000000_eafilid6.txt,02,999,720066,,,,
20260118_150222_23c4c371bad6,C:\Users\richg\eafix-modular\id_16_digit,2026-01-18T21:02:22.208131+00:00,Enhanced File Scanner v2.py,C:\Users\richg\eafix-modular\id_16_digit\Enhanced File Scanner v2.py,Enhanced File Scanner v2.py,py,48407,2026-01-18T21:01:16.828720+00:00,2026-01-18T16:51:12.833890+00:00,False,text/x-python,666,,,False,,True,0000000000000000_Enhanced File Scanner v2.py,20,999,720066,,,,
20260118_150222_23c4c371bad6,C:\Users\richg\eafix-modular\id_16_digit,2026-01-18T21:02:22.208131+00:00,file_scanner_modularization.md,C:\Users\richg\eafix-modular\id_16_digit\file_scanner_modularization.md,file_scanner_modularization.md,md,3959,2026-01-18T19:58:06.404058+00:00,2026-01-18T19:58:06.404058+00:00,False,text/markdown,666,,,False,,True,0000000000000000_file_scanner_modularization.md,01,999,720066,,,,
20260118_150222_23c4c371bad6,C:\Users\richg\eafix-modular\id_16_digit,2026-01-18T21:02:22.208131+00:00,FILE_SCAN_CSV_DERIVATION_SPEC — Complete Column Derivation Documentation.txt,C:\Users\richg\eafix-modular\id_16_digit\FILE_SCAN_CSV_DERIVATION_SPEC — Complete Column Derivation Documentation.txt,FILE_SCAN_CSV_DERIVATION_SPEC — Complete Column Derivation Documentation.txt,txt,14002,2026-01-18T19:10:57.538411+00:00,2026-01-18T19:10:57.538411+00:00,False,text/plain,666,,,False,,True,0000000000000000_FILE_SCAN_CSV_DERIVATION_SPEC — Complete Column Derivation Documentation.txt,02,999,720066,,,,
20260118_150222_23c4c371bad6,C:\Users\richg\eafix-modular\id_16_digit,2026-01-18T21:02:22.208131+00:00,IDENTITY_CONFIG.yaml,C:\Users\richg\eafix-modular\id_16_digit\IDENTITY_CONFIG.yaml,IDENTITY_CONFIG.yaml,yaml,3989,2026-01-18T21:02:11.087620+00:00,2026-01-18T18:57:41.964713+00:00,False,,666,,,False,,True,0000000000000000_IDENTITY_CONFIG.yaml,12,999,720066,,,,
20260118_150222_23c4c371bad6,C:\Users\richg\eafix-modular\id_16_digit,2026-01-18T21:02:22.208131+00:00,linear-popping-hopper.md,C:\Users\richg\eafix-modular\id_16_digit\linear-popping-hopper.md,linear-popping-hopper.md,md,12089,2026-01-18T20:38:46.464659+00:00,2026-01-18T20:38:46.463107+00:00,False,text/markdown,666,,,False,,True,0000000000000000_linear-popping-hopper.md,01,999,720066,,,,
